CC6A  A2 FF
CC6C  E8
CC6D  D0 3D
CC6F  30 3B
CC71  90 39
CC73  50 37
CC75  E0 00
CC77  D0 33
CC79  E8
CC7A  F0 30
CC7C  30 2E
CC7E  90 2C
CC80  50 2A
CC82  18
CC83  B8
CC84  A2 00
CC86  CA
CC87  F0 23
CC89  10 21
CC8B  B0 1F
CC8D  70 1D
CC8F  E0 FF
CC91  D0 19
CC93  18
CC94  CA
CC95  F0 15
CC97  10 13
CC99  B0 11
CC9B  70 0F
CC9D  E0 FE
CC9F  D0 0B
CCA1  C9 96
CCA3  D0 07
CCA5  C0 69
CCA7  D0 03
CCA9  4C B0 CC
CCB0  EA
CCB1  A9 85
CCB3  A2 34
CCB5  A0 99
CCB7  18
CCB8  24 01
CCBA  A8
CCBB  F0 2E
CCBD  B0 2C
CCBF  50 2A
CCC1  10 28
CCC3  C9 85
CCC5  D0 24
CCC7  E0 34
CCC9  D0 20
CCCB  C0 85
CCCD  D0 1C
CCCF  A9 00
CCD1  38
CCD2  B8
CCD3  A8
CCD4  D0 15
CCD6  90 13
CCD8  70 11
CCDA  30 0F
CCDC  C9 00
CCDE  D0 0B
CCE0  E0 34
CCE2  D0 07
CCE4  C0 00
CCE6  D0 03
CCE8  4C EF CC
CCEF  EA
CCF0  A9 85
CCF2  A2 34
CCF4  A0 99
CCF6  18
CCF7  24 01
CCF9  AA
CCFA  F0 2E
CCFC  B0 2C
CCFE  50 2A
CD00  10 28
CD02  C9 85
CD04  D0 24
CD06  E0 85
CD08  D0 20
CD0A  C0 99
CD0C  D0 1C
CD0E  A9 00
CD10  38
CD11  B8
CD12  AA
CD13  D0 15
CD15  90 13
CD17  70 11
CD19  30 0F
CD1B  C9 00
CD1D  D0 0B
CD1F  E0 00
CD21  D0 07
CD23  C0 99
CD25  D0 03
CD27  4C 2E CD
CD2E  EA
CD2F  A9 85
CD31  A2 34
CD33  A0 99
CD35  18
CD36  24 01
CD38  98
CD39  F0 2E
CD3B  B0 2C
CD3D  50 2A
CD3F  10 28
CD41  C9 99
CD43  D0 24
CD45  E0 34
CD47  D0 20
CD49  C0 99
CD4B  D0 1C
CD4D  A0 00
CD4F  38
CD50  B8
CD51  98
CD52  D0 15
CD54  90 13
CD56  70 11
CD58  30 0F
CD5A  C9 00
CD5C  D0 0B
CD5E  E0 34
CD60  D0 07
CD62  C0 00
CD64  D0 03
CD66  4C 6D CD
CD6D  EA
CD6E  A9 85
CD70  A2 34
CD72  A0 99
CD74  18
CD75  24 01
CD77  8A
CD78  F0 2E
CD7A  B0 2C
CD7C  50 2A
CD7E  30 28
CD80  C9 34
CD82  D0 24
CD84  E0 34
CD86  D0 20
CD88  C0 99
CD8A  D0 1C
CD8C  A2 00
CD8E  38
CD8F  B8
CD90  8A
CD91  D0 15
CD93  90 13
CD95  70 11
CD97  30 0F
CD99  C9 00
CD9B  D0 0B
CD9D  E0 00
CD9F  D0 07
CDA1  C0 99
CDA3  D0 03
CDA5  4C AC CD
CDAC  EA
CDAD  BA
CDAE  8E FF 07
CDB1  A0 33
CDB3  A2 69
CDB5  A9 84
CDB7  18
CDB8  24 01
